"path";"id";"parent_id";"level";"object_id";"object_type";"object_key";"query_status";"query_time";"query_type";"message";"created_time";"like_count";"comment_count";"error.message"
"351687753504_857584222388439";"59";"35";"2";"351687753504_857584222388439";"data";"data.*";"fetched (200)";"2023-10-19 22:40:18.991748";"Facebook:/<post-id>/comments";"I'd be completely embarrassed to celebrate such a win. Disallowed goal, 2 red cards. No wonder you will always remain a tiny insignificant joke of a club.";"";"";"";""
"351687753504_857584222388439/351687753504_857584222388439";"60";"35";"2";"351687753504_857584222388439";"data";"data.*";"fetched (200)";"2023-10-19 22:40:18.991748";"Facebook:/<post-id>/comments";"We got lucky, 9 men side and needed an own goal to win. COYS!";"";"";"";""
"351687753504_857584222388439/351687753504_857584222388439/351687753504_857584222388439";"61";"35";"2";"351687753504_857584222388439";"data";"data.*";"fetched (200)";"2023-10-19 22:40:18.991748";"Facebook:/<post-id>/comments";"#COYS";"";"";"";""
"351687753504_857584222388439/351687753504_857584222388439/351687753504_857584222388439";"62";"35";"2";"351687753504_857584222388439";"data";"data.*";"fetched (200)";"2023-10-19 22:40:18.991748";"Facebook:/<post-id>/comments";"🤍🤍🤍";"";"";"";""
"351687753504_857584222388439/351687753504_857584222388439/351687753504_857584222388439";"63";"35";"2";"351687753504_857584222388439";"data";"data.*";"fetched (200)";"2023-10-19 22:40:18.991748";"Facebook:/<post-id>/comments";"Trust the process";"";"";"";""
"351687753504_857584222388439/351687753504_857584222388439/351687753504_857584222388439";"64";"35";"2";"351687753504_857584222388439";"data";"data.*";"fetched (200)";"2023-10-19 22:40:18.991748";"Facebook:/<post-id>/comments";"Important 3 points. We were very lucky tonight. Sometimes it goes your way and that happened today. 💪";"";"";"";""
"351687753504_857584222388439/351687753504_857584222388439/351687753504_857584222388439";"65";"35";"2";"351687753504_857584222388439";"data";"data.*";"fetched (200)";"2023-10-19 22:40:18.991748";"Facebook:/<post-id>/comments";"Spurs for life ❤️";"";"";"";""
"351687753504_857584222388439/351687753504_857584222388439/351687753504_857584222388439";"66";"35";"2";"351687753504_857584222388439";"data";"data.*";"fetched (200)";"2023-10-19 22:40:18.991748";"Facebook:/<post-id>/comments";"LETSGOOOOOOOOOOO";"";"";"";""
"351687753504_857584222388439/351687753504_857584222388439/351687753504_857584222388439";"67";"35";"2";"351687753504_857584222388439";"data";"data.*";"fetched (200)";"2023-10-19 22:40:18.991748";"Facebook:/<post-id>/comments";"yippppeeeee a nice 3 points !!!";"";"";"";""
"351687753504_857584222388439/351687753504_857584222388439/351687753504_857584222388439";"68";"35";"2";"351687753504_857584222388439";"data";"data.*";"fetched (200)";"2023-10-19 22:40:18.991748";"Facebook:/<post-id>/comments";"فخر لندن   😭😭😭🤍🤍🤍🤍🤍🤍🤍";"";"";"";""
"351687753504_857584222388439/351687753504_857584222388439/351687753504_857584222388439";"69";"35";"2";"351687753504_857584222388439";"data";"data.*";"fetched (200)";"2023-10-19 22:40:18.991748";"Facebook:/<post-id>/comments";"اموت عليكم";"";"";"";""
"351687753504_857584222388439/351687753504_857584222388439/351687753504_857584222388439";"70";"35";"2";"351687753504_857584222388439";"data";"data.*";"fetched (200)";"2023-10-19 22:40:18.991748";"Facebook:/<post-id>/comments";"I don't care what people say...win is a win 🤣";"";"";"";""
"351687753504_857584222388439/351687753504_857584222388439/351687753504_857584222388439";"71";"35";"2";"351687753504_857584222388439";"data";"data.*";"fetched (200)";"2023-10-19 22:40:18.991748";"Facebook:/<post-id>/comments";"Spurds can't score against 10 men 😂😂";"";"";"";""
"351687753504_857584222388439/351687753504_857584222388439/351687753504_857584222388439";"72";"35";"2";"351687753504_857584222388439";"data";"data.*";"fetched (200)";"2023-10-19 22:40:18.991748";"Facebook:/<post-id>/comments";"SOME PLAYERS NEED OTHERS TO BECOME GREAT. LEO MESSI JUST NEEDS A BALL.⚽🔥  Everyone who agrees with me puts a heart and follows us, thank you 💜";"";"";"";""
"351687753504_857584222388439/351687753504_857584222388439/351687753504_857584222388439";"73";"35";"2";"351687753504_857584222388439";"data";"data.*";"fetched (200)";"2023-10-19 22:40:18.991748";"Facebook:/<post-id>/comments";"🤍🤍";"";"";"";""
"351687753504_857584222388439/351687753504_857584222388439/351687753504_857584222388439";"74";"35";"2";"351687753504_857584222388439";"data";"data.*";"fetched (200)";"2023-10-19 22:40:18.991748";"Facebook:/<post-id>/comments";"Ange ball ⚽️ 🔥";"";"";"";""
"351687753504_857584222388439/351687753504_857584222388439/351687753504_857584222388439";"75";"35";"2";"351687753504_857584222388439";"data";"data.*";"fetched (200)";"2023-10-19 22:40:18.991748";"Facebook:/<post-id>/comments";"Congratulations Lovely! Stuff 👏";"";"";"";""
"351687753504_857584222388439/351687753504_857584222388439/351687753504_857584222388439";"76";"35";"2";"351687753504_857584222388439";"data";"data.*";"fetched (200)";"2023-10-19 22:40:18.991748";"Facebook:/<post-id>/comments";"Nice job spur love from Nigeria 😊🥰";"";"";"";""
"351687753504_857584222388439/351687753504_857584222388439/351687753504_857584222388439";"77";"35";"2";"351687753504_857584222388439";"data";"data.*";"fetched (200)";"2023-10-19 22:40:18.991748";"Facebook:/<post-id>/comments";"Playing Richarlison was an error and it was an error to take Son out and keep him in. This was and is Solomon’s game. Either ways it was a good play. The boys never give up. COYS!!";"";"";"";""
"351687753504_857584222388439/351687753504_857584222388439/351687753504_857584222388439";"78";"35";"2";"351687753504_857584222388439";"data";"data.*";"fetched (200)";"2023-10-19 22:40:18.991748";"Facebook:/<post-id>/comments";"If Messi🇦🇷🐐😍 hadn't been born it would have been thought that muscles are above intelligence… thank you Messi for coming to earth";"";"";"";""
"351687753504_857584222388439/351687753504_857584222388439/351687753504_857584222388439";"79";"35";"2";"351687753504_857584222388439";"data";"data.*";"fetched (200)";"2023-10-19 22:40:18.991748";"Facebook:/<post-id>/comments";"Honestly, win with lucky";"";"";"";""
"351687753504_857584222388439/351687753504_857584222388439/351687753504_857584222388439";"80";"35";"2";"351687753504_857584222388439";"data";"data.*";"fetched (200)";"2023-10-19 22:40:18.991748";"Facebook:/<post-id>/comments";"Thanks to Matip";"";"";"";""
"351687753504_857584222388439/351687753504_857584222388439/351687753504_857584222388439";"81";"35";"2";"351687753504_857584222388439";"data";"data.*";"fetched (200)";"2023-10-19 22:40:18.991748";"Facebook:/<post-id>/comments";"So Kane Was The Problem!";"";"";"";""
"351687753504_857584222388439/351687753504_857584222388439/351687753504_857584222388439";"82";"35";"2";"351687753504_857584222388439";"data";"data.*";"fetched (200)";"2023-10-19 22:40:18.991748";"Facebook:/<post-id>/comments";"Ange is a blessed Coach with some luck in football even against all odds. Fair play to Liverpool.  Mehnnnn what a game. COYS.";"";"";"";""
"351687753504_857584222388439/351687753504_857584222388439/351687753504_857584222388439";"83";"35";"2";"351687753504_857584222388439";"data";"data.*";"fetched (200)";"2023-10-19 22:40:18.991748";"Facebook:/<post-id>/comments";"Come on Spurs 🤍💪";"";"";"";""
"351687753504_857584222388439/351687753504_857584222388439/351687753504_857584222388439";"84";"35";"2";"351687753504_857584222388439";"offcut";"";"fetched (200)";"2023-10-19 22:40:18.991748";"Facebook:/<post-id>/comments";"";"";"";"";""
"351687753504_857584222388439/351687753504_857584222388439/351687753504_857584222388439";"85";"35";"2";"351687753504_857584222388439";"data";"data.*";"fetched (200)";"2023-10-19 22:40:19.411598";"Facebook:/<post-id>/comments";"I went to the kitchen wearing Tottenham jersey and I couldn't lift a cup";"";"";"";""
"351687753504_857584222388439/351687753504_857584222388439/351687753504_857584222388439";"86";"35";"2";"351687753504_857584222388439";"data";"data.*";"fetched (200)";"2023-10-19 22:40:19.411598";"Facebook:/<post-id>/comments";"Pavlos Pavloulol";"";"";"";""
"351687753504_857584222388439/351687753504_857584222388439/351687753504_857584222388439";"87";"35";"2";"351687753504_857584222388439";"data";"data.*";"fetched (200)";"2023-10-19 22:40:19.411598";"Facebook:/<post-id>/comments";"I'm crying 😥😢❤️";"";"";"";""
"351687753504_857584222388439/351687753504_857584222388439/351687753504_857584222388439";"88";"35";"2";"351687753504_857584222388439";"data";"data.*";"fetched (200)";"2023-10-19 22:40:19.411598";"Facebook:/<post-id>/comments";"Gotta love football 💖🤍";"";"";"";""
"351687753504_857584222388439/351687753504_857584222388439/351687753504_857584222388439";"89";"35";"2";"351687753504_857584222388439";"data";"data.*";"fetched (200)";"2023-10-19 22:40:19.411598";"Facebook:/<post-id>/comments";"Yes";"";"";"";""
"351687753504_857584222388439/351687753504_857584222388439/351687753504_857584222388439";"90";"35";"2";"351687753504_857584222388439";"data";"data.*";"fetched (200)";"2023-10-19 22:40:19.411598";"Facebook:/<post-id>/comments";"What a match, what a relief 🌸";"";"";"";""
"351687753504_857584222388439/351687753504_857584222388439/351687753504_857584222388439";"91";"35";"2";"351687753504_857584222388439";"data";"data.*";"fetched (200)";"2023-10-19 22:40:19.411598";"Facebook:/<post-id>/comments";"❤❤";"";"";"";""
