path,id,parent_id,level,object_id,object_type,object_key,query_status,query_time,query_type,snippet.topLevelComment.snippet.textOriginal,snippet.topLevelComment.snippet.likeCount,snippet.totalReplyCount
P3bevifVByk,14084,None,0,P3bevifVByk,seed,,,None,None,,,
P3bevifVByk/UgxptRU8eP3fFkzviZ94AaABAg,14085,14084,1,UgxptRU8eP3fFkzviZ94AaABAg,data,items.*,fetched (200),2023-10-16 14:48:33.430391,YouTube:/commentThreads,Nasılda koydu Galatasaray 3-2,0,0
P3bevifVByk/UgwCdVAX0dEqC9DgpMt4AaABAg,14086,14084,1,UgwCdVAX0dEqC9DgpMt4AaABAg,data,items.*,fetched (200),2023-10-16 14:48:33.430391,YouTube:/commentThreads,Manchester is red or yellow,0,0
P3bevifVByk/Ugz6rlQPFq6mvZC8_Pt4AaABAg,14087,14084,1,Ugz6rlQPFq6mvZC8_Pt4AaABAg,data,items.*,fetched (200),2023-10-16 14:48:33.430391,YouTube:/commentThreads,air Jim OUT OF OUR FOOTBALL CLUB..!!! You will never be accepted by fans.. massive problems ahead..!! Sir Jim out!! Glazers out!!!!,0,0
P3bevifVByk/UgxvKTBl8CLFjdPrvY14AaABAg,14088,14084,1,UgxvKTBl8CLFjdPrvY14AaABAg,data,items.*,fetched (200),2023-10-16 14:48:33.430391,YouTube:/commentThreads,JIM AND THE GLAZERS BOYCOTT THEM AND ANYTHING TO DO WITH THEM,0,0
P3bevifVByk/Ugzvr4ciNo80fmTVIox4AaABAg,14089,14084,1,Ugzvr4ciNo80fmTVIox4AaABAg,data,items.*,fetched (200),2023-10-16 14:48:33.430391,YouTube:/commentThreads,Here we go Dominik livacovic,0,0
P3bevifVByk/UgzPHhaBiqiWhwNH1Gt4AaABAg,14090,14084,1,UgzPHhaBiqiWhwNH1Gt4AaABAg,data,items.*,fetched (200),2023-10-16 14:48:33.430391,YouTube:/commentThreads,Man United. 100.   0   FENERBAHÇEFB,0,0
P3bevifVByk/UgybH9wdeTCGHZZiEUd4AaABAg,14091,14084,1,UgybH9wdeTCGHZZiEUd4AaABAg,data,items.*,fetched (200),2023-10-16 14:48:33.430391,YouTube:/commentThreads,Mistake will teach you to be a smart person. oaerna,0,0
P3bevifVByk/UgyzZtT9tjwUOa1ud354AaABAg,14092,14084,1,UgyzZtT9tjwUOa1ud354AaABAg,data,items.*,fetched (200),2023-10-16 14:48:33.430391,YouTube:/commentThreads,Ten hag out,0,0
P3bevifVByk/UgwE_ATvaKqxxbGPenN4AaABAg,14093,14084,1,UgwE_ATvaKqxxbGPenN4AaABAg,data,items.*,fetched (200),2023-10-16 14:48:33.430391,YouTube:/commentThreads,man utd the best club in the world love u erik ten hag,0,0
P3bevifVByk/Ugx_Bf-Vbi6cQ2iUmrx4AaABAg,14094,14084,1,Ugx_Bf-Vbi6cQ2iUmrx4AaABAg,data,items.*,fetched (200),2023-10-16 14:48:33.430391,YouTube:/commentThreads,A 1-0 win…………………those were the days.,2,0
P3bevifVByk/UgyGz-ala-eiFIHZ6YZ4AaABAg,14095,14084,1,UgyGz-ala-eiFIHZ6YZ4AaABAg,data,items.*,fetched (200),2023-10-16 14:48:33.430391,YouTube:/commentThreads,Afer legend się Alex Ferguson left this club is a joke fck jew glazers drain money from this club  look what trasfers made mc all those years they made great heavy team and we looks like kids as we r rn,1,0
P3bevifVByk/UgxleDyvShp1Xaq778x4AaABAg,14096,14084,1,UgxleDyvShp1Xaq778x4AaABAg,data,items.*,fetched (200),2023-10-16 14:48:33.430391,YouTube:/commentThreads,Onana love,0,0
P3bevifVByk/UgzKEtc_2l1eUZs7aCB4AaABAg,14097,14084,1,UgzKEtc_2l1eUZs7aCB4AaABAg,data,items.*,fetched (200),2023-10-16 14:48:33.430391,YouTube:/commentThreads,울드드래프트축구장에서 FC서울의내 친구 맨유가 황희찬의울버햄튼을 쉽게 이겼다.바란의헤딩 결승골을 넣었다.대전월드컵경기축구장에서 맨유의친구 FC서울에게 3대4로 져서 속상하네!!,0,0
P3bevifVByk/UgwJGySFIPvR9y3xxJt4AaABAg,14098,14084,1,UgwJGySFIPvR9y3xxJt4AaABAg,data,items.*,fetched (200),2023-10-16 14:48:33.430391,YouTube:/commentThreads,When Altay come,0,0
