path,id,parent_id,level,object_id,object_type,object_key,query_status,query_time,query_type,snippet.topLevelComment.snippet.textOriginal,snippet.topLevelComment.snippet.likeCount,snippet.totalReplyCount
PRaNTFdCahk,15999,None,0,PRaNTFdCahk,seed,,,None,None,,,
PRaNTFdCahk/UgwjQ8JR5zhi_xWqws14AaABAg,16000,15999,1,UgwjQ8JR5zhi_xWqws14AaABAg,data,items.*,fetched (200),2023-10-16 14:50:27.790301,YouTube:/commentThreads,Wolves has better highlight than manutd thanks wolves,0,0
PRaNTFdCahk/Ugwax1hntyZgcyxY90J4AaABAg,16001,15999,1,Ugwax1hntyZgcyxY90J4AaABAg,data,items.*,fetched (200),2023-10-16 14:50:27.790301,YouTube:/commentThreads,manchester corrupted,0,0
PRaNTFdCahk/Ugx2OEghNGJ4DxXfV8B4AaABAg,16002,15999,1,Ugx2OEghNGJ4DxXfV8B4AaABAg,data,items.*,fetched (200),2023-10-16 14:50:27.790301,YouTube:/commentThreads,Tell you what Cunha for wolves is a right workaholic he would be a dream player for any team not sure who the wolves manager  is but he has spent well on Cunha.,0,0
PRaNTFdCahk/UgzbF355dTAATBWWFi14AaABAg,16003,15999,1,UgzbF355dTAATBWWFi14AaABAg,data,items.*,fetched (200),2023-10-16 14:50:27.790301,YouTube:/commentThreads,this referee is dangerous for little teams. Good luck !,0,0
PRaNTFdCahk/UgzgrRybI1Q-Cyn-A8F4AaABAg,16004,15999,1,UgzgrRybI1Q-Cyn-A8F4AaABAg,data,items.*,fetched (200),2023-10-16 14:50:27.790301,YouTube:/commentThreads,"100% pen.. Prem got the best football, but the worst reffs",0,0
PRaNTFdCahk/UgyPCrfDJ7gA_M_fuql4AaABAg,16005,15999,1,UgyPCrfDJ7gA_M_fuql4AaABAg,data,items.*,fetched (200),2023-10-16 14:50:27.790301,YouTube:/commentThreads,Brighton showed Wolverhampton how it's done and wolves and Spurs are rubbish and Manchester United made them look good that's how bad Ten Hags team are  absolute rubbish,1,0
PRaNTFdCahk/UgyYbSFtqv30hWPTI1Z4AaABAg,16006,15999,1,UgyYbSFtqv30hWPTI1Z4AaABAg,data,items.*,fetched (200),2023-10-16 14:50:27.790301,YouTube:/commentThreads,MU LOSSER 😂,0,0
PRaNTFdCahk/UgzMe_wYCNF9KrMrgrh4AaABAg,16007,15999,1,UgzMe_wYCNF9KrMrgrh4AaABAg,data,items.*,fetched (200),2023-10-16 14:50:27.790301,YouTube:/commentThreads,Referees are not fit for purpose. Full stop!,0,0
PRaNTFdCahk/UgxuLfvbpk_9LaoTN5Z4AaABAg,16008,15999,1,UgxuLfvbpk_9LaoTN5Z4AaABAg,data,items.*,fetched (200),2023-10-16 14:50:27.790301,YouTube:/commentThreads,Playing a good game doesn't always results to wins. MUFC has also had great games that end in defeats. It's all about making the small chances count. Otherwise you will keep complaining how you played well but the results will always show otherwise.,0,0
PRaNTFdCahk/Ugz1u_xL_8ZgpHfV2pV4AaABAg,16009,15999,1,Ugz1u_xL_8ZgpHfV2pV4AaABAg,data,items.*,fetched (200),2023-10-16 14:50:27.790301,YouTube:/commentThreads,MU's game is like seeing a 6th division club...amateur,0,0
PRaNTFdCahk/Ugw3WVDL_ApKszKBHQd4AaABAg,16010,15999,1,Ugw3WVDL_ApKszKBHQd4AaABAg,data,items.*,fetched (200),2023-10-16 14:50:27.790301,YouTube:/commentThreads,"Wolves are overrunning Manchester united midfield, something should be fixed , they could have won by 3 goals if they were clinical in finishing .",0,0
PRaNTFdCahk/Ugya3QBncbCxk90lOy14AaABAg,16011,15999,1,Ugya3QBncbCxk90lOy14AaABAg,data,items.*,fetched (200),2023-10-16 14:50:27.790301,YouTube:/commentThreads,Though man United  won the match but wolves  played  better  than them  Man United  is still not good enough,0,0
PRaNTFdCahk/UgxShndBIHFeo1BUkEZ4AaABAg,16012,15999,1,UgxShndBIHFeo1BUkEZ4AaABAg,data,items.*,fetched (200),2023-10-16 14:50:27.790301,YouTube:/commentThreads,Man u and referees😊,0,0
PRaNTFdCahk/Ugz8H3GFHQw8uMVZ_n94AaABAg,16013,15999,1,Ugz8H3GFHQw8uMVZ_n94AaABAg,data,items.*,fetched (200),2023-10-16 14:50:27.790301,YouTube:/commentThreads,Wolves well played👌,0,0
PRaNTFdCahk/UgzuTvc77aAXBDpGqZp4AaABAg,16014,15999,1,UgzuTvc77aAXBDpGqZp4AaABAg,data,items.*,fetched (200),2023-10-16 14:50:27.790301,YouTube:/commentThreads,Only missing is goals for Cunha. He missed 3-4 chances. Come on Cunha,0,0
PRaNTFdCahk/UgyH5j9EbzDEFNCqWvd4AaABAg,16015,15999,1,UgyH5j9EbzDEFNCqWvd4AaABAg,data,items.*,fetched (200),2023-10-16 14:50:27.790301,YouTube:/commentThreads,9:27 played like Sonny,0,0
PRaNTFdCahk/Ugxvp010TlKMl0nxhmx4AaABAg,16016,15999,1,Ugxvp010TlKMl0nxhmx4AaABAg,data,items.*,fetched (200),2023-10-16 14:50:27.790301,YouTube:/commentThreads,You got lucky with your Coach....he is something... never let him go,0,0
PRaNTFdCahk/UgwaP4TgbZi-qr8G_KJ4AaABAg,16017,15999,1,UgwaP4TgbZi-qr8G_KJ4AaABAg,data,items.*,fetched (200),2023-10-16 14:50:27.790301,YouTube:/commentThreads,Wolf played good but for nothing I appreciate m united for good out come that's the meaning of game keep it up,0,0
PRaNTFdCahk/Ugy-Fti1j8BYhC5AXtd4AaABAg,16018,15999,1,Ugy-Fti1j8BYhC5AXtd4AaABAg,data,items.*,fetched (200),2023-10-16 14:50:27.790301,YouTube:/commentThreads,"am a utd fan, impressive match by Wolves but lost.. the  most important thing is winning not just impressive football..so work on that..",0,0
