path,id,parent_id,level,object_id,object_type,object_key,query_status,query_time,query_type,snippet.topLevelComment.snippet.textOriginal,snippet.topLevelComment.snippet.likeCount,snippet.totalReplyCount
9i4CK-Tz3mo,12938,None,0,9i4CK-Tz3mo,seed,,,None,None,,,
9i4CK-Tz3mo/UgxqodzkccHRSxLDP6t4AaABAg,12939,12938,1,UgxqodzkccHRSxLDP6t4AaABAg,data,items.*,fetched (200),2023-10-16 14:45:18.060110,YouTube:/commentThreads,"here after our opening game of the season 😂, to see why wolves dominated us",1,0
9i4CK-Tz3mo/UgxLh5_OjgTxBC05Yb54AaABAg,12940,12938,1,UgxLh5_OjgTxBC05Yb54AaABAg,data,items.*,fetched (200),2023-10-16 14:45:18.060110,YouTube:/commentThreads,Hope to see these cleansheet again tonight,0,0
9i4CK-Tz3mo/Ugx_lkWhLEmjYF1QSZJ4AaABAg,12941,12938,1,Ugx_lkWhLEmjYF1QSZJ4AaABAg,data,items.*,fetched (200),2023-10-16 14:45:18.060110,YouTube:/commentThreads,Maguire is leaving but Antony is stayin to annoy us Man U fans,0,0
9i4CK-Tz3mo/UgzWSw01q0_SE7fxKDp4AaABAg,12942,12938,1,UgzWSw01q0_SE7fxKDp4AaABAg,data,items.*,fetched (200),2023-10-16 14:45:18.060110,YouTube:/commentThreads,UNITEDD❤❤..,0,0
9i4CK-Tz3mo/UgwaoWX79PTYy6sk_ht4AaABAg,12943,12938,1,UgwaoWX79PTYy6sk_ht4AaABAg,data,items.*,fetched (200),2023-10-16 14:45:18.060110,YouTube:/commentThreads,🔥,0,0
9i4CK-Tz3mo/UgzKx6CvnxhiwAaD4N54AaABAg,12944,12938,1,UgzKx6CvnxhiwAaD4N54AaABAg,data,items.*,fetched (200),2023-10-16 14:45:18.060110,YouTube:/commentThreads,Garnacho is the real deal can't lie,1,0
9i4CK-Tz3mo/UgwCzYAiHHLAmVl-Gcd4AaABAg,12945,12938,1,UgwCzYAiHHLAmVl-Gcd4AaABAg,data,items.*,fetched (200),2023-10-16 14:45:18.060110,YouTube:/commentThreads,❤❤❤,0,0
9i4CK-Tz3mo/UgyvNxHriCfsiVtvDI54AaABAg,12946,12938,1,UgyvNxHriCfsiVtvDI54AaABAg,data,items.*,fetched (200),2023-10-16 14:45:18.060110,YouTube:/commentThreads,❤❤❤,0,0
9i4CK-Tz3mo/UgxuPE9VWWJrihUqqMd4AaABAg,12947,12938,1,UgxuPE9VWWJrihUqqMd4AaABAg,data,items.*,fetched (200),2023-10-16 14:45:18.060110,YouTube:/commentThreads,Its always so wholesome seeing Sir Alex watching the games live 🥹,0,0
9i4CK-Tz3mo/UgxVkLKyKtRlhb65ZNF4AaABAg,12948,12938,1,UgxVkLKyKtRlhb65ZNF4AaABAg,data,items.*,fetched (200),2023-10-16 14:45:18.060110,YouTube:/commentThreads,Wolves goalkeeper was so great despite lost,1,0
9i4CK-Tz3mo/Ugy6fpNe_NF9a7oG8cp4AaABAg,12949,12938,1,Ugy6fpNe_NF9a7oG8cp4AaABAg,data,items.*,fetched (200),2023-10-16 14:45:18.060110,YouTube:/commentThreads,"Man u its on fire,🔥🔥🔥",0,0
9i4CK-Tz3mo/UgzkoNzXQy9eKbIVtqF4AaABAg,12950,12938,1,UgzkoNzXQy9eKbIVtqF4AaABAg,data,items.*,fetched (200),2023-10-16 14:45:18.060110,YouTube:/commentThreads,Garnacho is the next goat  And I am 9 year so my idol,0,0
9i4CK-Tz3mo/UgxwABWt7YrY8YD7hmB4AaABAg,12951,12938,1,UgxwABWt7YrY8YD7hmB4AaABAg,data,items.*,fetched (200),2023-10-16 14:45:18.060110,YouTube:/commentThreads,I really feel Antony has serious potential......,0,0
9i4CK-Tz3mo/UgxvzZs4xEjj8y36mVZ4AaABAg,12952,12938,1,UgxvzZs4xEjj8y36mVZ4AaABAg,data,items.*,fetched (200),2023-10-16 14:45:18.060110,YouTube:/commentThreads,Pelez place marsial awt,0,0
9i4CK-Tz3mo/UgyKOwCA9KGR3XqZdsN4AaABAg,12953,12938,1,UgyKOwCA9KGR3XqZdsN4AaABAg,data,items.*,fetched (200),2023-10-16 14:45:18.060110,YouTube:/commentThreads,this is after the chelsea game but bruno fernandes you're fantastic thank you,0,0
9i4CK-Tz3mo/Ugxizw4Un-JSGHlou-V4AaABAg,12954,12938,1,Ugxizw4Un-JSGHlou-V4AaABAg,data,items.*,fetched (200),2023-10-16 14:45:18.060110,YouTube:/commentThreads,hi,0,0
9i4CK-Tz3mo/Ugz6N-c4wVzy0uB6BUZ4AaABAg,12955,12938,1,Ugz6N-c4wVzy0uB6BUZ4AaABAg,data,items.*,fetched (200),2023-10-16 14:45:18.060110,YouTube:/commentThreads,❤️😀,0,0
9i4CK-Tz3mo/Ugwb5jOn1IbZtgAu6Vp4AaABAg,12956,12938,1,Ugwb5jOn1IbZtgAu6Vp4AaABAg,data,items.*,fetched (200),2023-10-16 14:45:18.060110,YouTube:/commentThreads,Go United! 👊🏽😎,0,0
9i4CK-Tz3mo/UgwWKZ_NirRyTX922E94AaABAg,12957,12938,1,UgwWKZ_NirRyTX922E94AaABAg,data,items.*,fetched (200),2023-10-16 14:45:18.060110,YouTube:/commentThreads,Why is weghorst calling for the ball😂,0,0
9i4CK-Tz3mo/Ugyx8s35uuw0AhpDWTp4AaABAg,12958,12938,1,Ugyx8s35uuw0AhpDWTp4AaABAg,data,items.*,fetched (200),2023-10-16 14:45:18.060110,YouTube:/commentThreads,@The_Island_cowboys should watch this😂,0,0
9i4CK-Tz3mo/UgzE5d9r2ulElGrJInh4AaABAg,12959,12938,1,UgzE5d9r2ulElGrJInh4AaABAg,data,items.*,fetched (200),2023-10-16 14:45:18.060110,YouTube:/commentThreads,hi ae,0,0
9i4CK-Tz3mo/UgxaiIEeez1AUpAZb9d4AaABAg,12960,12938,1,UgxaiIEeez1AUpAZb9d4AaABAg,data,items.*,fetched (200),2023-10-16 14:45:18.060110,YouTube:/commentThreads,Crazy saves from the goalkeeper.,1,0
9i4CK-Tz3mo/UgxjjaGsta_u-PFzPbh4AaABAg,12961,12938,1,UgxjjaGsta_u-PFzPbh4AaABAg,data,items.*,fetched (200),2023-10-16 14:45:18.060110,YouTube:/commentThreads,I'm sure that man u is going to Europa,1,0
9i4CK-Tz3mo/UgxUpAXDE-tkm6hZJxd4AaABAg,12962,12938,1,UgxUpAXDE-tkm6hZJxd4AaABAg,data,items.*,fetched (200),2023-10-16 14:45:18.060110,YouTube:/commentThreads,pitch for 90% of the game,0,0
9i4CK-Tz3mo/UgyhSFF9nvR7SnIVJHh4AaABAg,12963,12938,1,UgyhSFF9nvR7SnIVJHh4AaABAg,data,items.*,fetched (200),2023-10-16 14:45:18.060110,YouTube:/commentThreads,"Am waiting for that time when we have Garnacho, Greenwood and Amad leading Man United attack💯",0,0
9i4CK-Tz3mo/UgzHdroEsWzxqwEB6dF4AaABAg,12964,12938,1,UgzHdroEsWzxqwEB6dF4AaABAg,data,items.*,fetched (200),2023-10-16 14:45:18.060110,YouTube:/commentThreads,👍💪🙏😍,0,0
9i4CK-Tz3mo/UgxJOKZzQN6QdBwhZf14AaABAg,12965,12938,1,UgxJOKZzQN6QdBwhZf14AaABAg,data,items.*,fetched (200),2023-10-16 14:45:18.060110,YouTube:/commentThreads,Glazers get out. Full sale only. Qatar in,0,0
9i4CK-Tz3mo/UgwfyE3eT_xOxBuQgYB4AaABAg,12966,12938,1,UgwfyE3eT_xOxBuQgYB4AaABAg,data,items.*,fetched (200),2023-10-16 14:45:18.060110,YouTube:/commentThreads,Garnacho celebrated like he scored the final champions league goal,0,0
9i4CK-Tz3mo/UgzM7CDsIdF7QtWuAsd4AaABAg,12967,12938,1,UgzM7CDsIdF7QtWuAsd4AaABAg,data,items.*,fetched (200),2023-10-16 14:45:18.060110,YouTube:/commentThreads,This was more like Bentley vs MUN.,0,0
9i4CK-Tz3mo/Ugw8DuwYKT8ns1UjCY54AaABAg,12968,12938,1,Ugw8DuwYKT8ns1UjCY54AaABAg,data,items.*,fetched (200),2023-10-16 14:45:18.060110,YouTube:/commentThreads,UNITED AN,0,0
