path,id,parent_id,level,object_id,object_type,object_key,query_status,query_time,query_type,snippet.topLevelComment.snippet.textOriginal,snippet.topLevelComment.snippet.likeCount,snippet.totalReplyCount
j3LftIHVMZE,14027,None,0,j3LftIHVMZE,seed,,,None,None,,,
j3LftIHVMZE/Ugx0p2zw2aamcR06tI54AaABAg,14028,14027,1,Ugx0p2zw2aamcR06tI54AaABAg,data,items.*,fetched (200),2023-10-16 14:47:04.938112,YouTube:/commentThreads,Wolves❤❤,1,0
j3LftIHVMZE/UgwGJFttmGD6SjonPgJ4AaABAg,14029,14027,1,UgwGJFttmGD6SjonPgJ4AaABAg,data,items.*,fetched (200),2023-10-16 14:47:04.938112,YouTube:/commentThreads,Goalkeeper proving why he’s called Bentley. Class act !!!🙌🏿,1,0
j3LftIHVMZE/Ugwotm6GWMHVasLNpJV4AaABAg,14030,14027,1,Ugwotm6GWMHVasLNpJV4AaABAg,data,items.*,fetched (200),2023-10-16 14:47:04.938112,YouTube:/commentThreads,"Been saying for weeks, and getting slated for it, lopetegui is underwhelming. Dawson,checks his drive forward, as he's left all alone, support ? Nah Bentley best player, kept it respectable,  Midfield every player missing.  Ah well......perhaps next year we can succeed ....in getting relegated.",0,0
j3LftIHVMZE/Ugx_pk5qtDw4H_pu6dJ4AaABAg,14031,14027,1,Ugx_pk5qtDw4H_pu6dJ4AaABAg,data,items.*,fetched (200),2023-10-16 14:47:04.938112,YouTube:/commentThreads,i love wolverhampton,0,0
j3LftIHVMZE/UgxEffa2jqZwPk_5K5V4AaABAg,14032,14027,1,UgxEffa2jqZwPk_5K5V4AaABAg,data,items.*,fetched (200),2023-10-16 14:47:04.938112,YouTube:/commentThreads,"As a Manchester United Fan,I apppreciate the performance 😊",0,0
j3LftIHVMZE/UgypJg8aRN7OG-Jxmt54AaABAg,14033,14027,1,UgypJg8aRN7OG-Jxmt54AaABAg,data,items.*,fetched (200),2023-10-16 14:47:04.938112,YouTube:/commentThreads,1:47 my guy trying to chase a fresh leg garnacho 🤣😂,1,0
j3LftIHVMZE/UgyZMJb7oEeSDH7kym94AaABAg,14034,14027,1,UgyZMJb7oEeSDH7kym94AaABAg,data,items.*,fetched (200),2023-10-16 14:47:04.938112,YouTube:/commentThreads,We could have Harland up front it would make no difference we create nothing going forward and I get to pay an extra 100 quid to watch  next season cheers wolves,0,0
j3LftIHVMZE/Ugzlxvk0twBAyDXfZDF4AaABAg,14035,14027,1,Ugzlxvk0twBAyDXfZDF4AaABAg,data,items.*,fetched (200),2023-10-16 14:47:04.938112,YouTube:/commentThreads,Enjoy your vacation boys.,0,0
j3LftIHVMZE/UgyVFI1mdkw_Q7nVb3h4AaABAg,14036,14027,1,UgyVFI1mdkw_Q7nVb3h4AaABAg,data,items.*,fetched (200),2023-10-16 14:47:04.938112,YouTube:/commentThreads,Give Bentley a chance to be your Number 1,0,0
