path,id,parent_id,level,object_id,object_type,object_key,query_status,query_time,query_type,snippet.topLevelComment.snippet.textOriginal,snippet.topLevelComment.snippet.likeCount,snippet.totalReplyCount
e8RcQoGY4OE,1864,None,0,e8RcQoGY4OE,seed,,,None,None,,,
e8RcQoGY4OE/UgxmX9MySVexVjvgROJ4AaABAg,1865,1864,1,UgxmX9MySVexVjvgROJ4AaABAg,data,items.*,fetched (200),2023-10-16 14:28:40.455238,YouTube:/commentThreads,Bruv Van dijk got sent to the shops,0,0
e8RcQoGY4OE/UgyyjZrDtXouGiQoJ-94AaABAg,1866,1864,1,UgyyjZrDtXouGiQoJ-94AaABAg,data,items.*,fetched (200),2023-10-16 14:28:40.455238,YouTube:/commentThreads,who else came back to watch this after the spurs controversial refereee fraud win over liverpool to remind myself how good we are?,0,1
e8RcQoGY4OE/UgxzRIVrIAeFF6qCxRN4AaABAg,1867,1864,1,UgxzRIVrIAeFF6qCxRN4AaABAg,data,items.*,fetched (200),2023-10-16 14:28:40.455238,YouTube:/commentThreads,"This is the reason spurs won in September, karma got them back",0,0
e8RcQoGY4OE/UgxuFnRp9-T-U6L3toV4AaABAg,1868,1864,1,UgxuFnRp9-T-U6L3toV4AaABAg,data,items.*,fetched (200),2023-10-16 14:28:40.455238,YouTube:/commentThreads,"T 2:1 L 난 손흥민 팬이지만, 리버풀은 한국인이 봐도 레드카드는 아니였다. 옐로우카드였다..😢",0,0
e8RcQoGY4OE/UgxF-WZDuBjH0DdPoTd4AaABAg,1869,1864,1,UgxF-WZDuBjH0DdPoTd4AaABAg,data,items.*,fetched (200),2023-10-16 14:28:40.455238,YouTube:/commentThreads,Amazing moment for The Reds under Klopp,0,0
e8RcQoGY4OE/Ugw4gp03OviNBwiNKod4AaABAg,1870,1864,1,Ugw4gp03OviNBwiNKod4AaABAg,data,items.*,fetched (200),2023-10-16 14:28:40.455238,YouTube:/commentThreads,আমি লাইক কমেন্ট শেয়ার করেছি ❤❤❤,0,0
e8RcQoGY4OE/UgxzeheF2JXxRIsTqFZ4AaABAg,1871,1864,1,UgxzeheF2JXxRIsTqFZ4AaABAg,data,items.*,fetched (200),2023-10-16 14:28:40.455238,YouTube:/commentThreads,Hi❤❤❤❤,0,0
e8RcQoGY4OE/UgzyV0LTyzU5t-LauOR4AaABAg,1872,1864,1,UgzyV0LTyzU5t-LauOR4AaABAg,data,items.*,fetched (200),2023-10-16 14:28:40.455238,YouTube:/commentThreads,Remember...,0,0
e8RcQoGY4OE/UgyuxCQAMXgOt_9Z0214AaABAg,1873,1864,1,UgyuxCQAMXgOt_9Z0214AaABAg,data,items.*,fetched (200),2023-10-16 14:28:40.455238,YouTube:/commentThreads,Simply call us the come back kings. Come on REDS! Liverpool for life.,1,1
