path,id,parent_id,level,object_id,object_type,object_key,query_status,query_time,query_type,snippet.topLevelComment.snippet.textOriginal,snippet.topLevelComment.snippet.likeCount,snippet.totalReplyCount
HUtAjPTsuqs,5025,None,0,HUtAjPTsuqs,seed,,,None,None,,,
HUtAjPTsuqs/Ugy6wbWSbQwb_Ieh3hN4AaABAg,5026,5025,1,Ugy6wbWSbQwb_Ieh3hN4AaABAg,data,items.*,fetched (200),2023-10-16 14:36:00.314367,YouTube:/commentThreads,The true man of the match is referee,0,0
HUtAjPTsuqs/UgxesElnUkN7PKpqzVF4AaABAg,5027,5025,1,UgxesElnUkN7PKpqzVF4AaABAg,data,items.*,fetched (200),2023-10-16 14:36:00.314367,YouTube:/commentThreads,minimal trofi,0,0
HUtAjPTsuqs/UgxdS39Dq8E5TSJ1had4AaABAg,5028,5025,1,UgxdS39Dq8E5TSJ1had4AaABAg,data,items.*,fetched (200),2023-10-16 14:36:00.314367,YouTube:/commentThreads,"So many comments saying how wonderful the performance was. I have to disagree. I like Tottenham but, they played against 9 men, one of them reds was questionable at best, lfc had a perfect goal wrongfully disallowed - and own goal won Tottenham the game in the final seconds - ultimately almost losing to 9 men with provably wrong ref decisions throughout. This is not a good measure of performance. This not an attack, happy for you to win the 3 points etc good result but worrying performance not good at all",0,0
HUtAjPTsuqs/UgyQ0d2JbPQlnDwy1ml4AaABAg,5029,5025,1,UgyQ0d2JbPQlnDwy1ml4AaABAg,data,items.*,fetched (200),2023-10-16 14:36:00.314367,YouTube:/commentThreads,0:01  0:17 Robbed Robbed Robbed,0,0
HUtAjPTsuqs/Ugwb60vyMZqikkVLr-l4AaABAg,5030,5025,1,Ugwb60vyMZqikkVLr-l4AaABAg,data,items.*,fetched (200),2023-10-16 14:36:00.314367,YouTube:/commentThreads,Should of been a draw,0,0
HUtAjPTsuqs/Ugx3T4H5TI6AZyTG8gZ4AaABAg,5031,5025,1,Ugx3T4H5TI6AZyTG8gZ4AaABAg,data,items.*,fetched (200),2023-10-16 14:36:00.314367,YouTube:/commentThreads,"For the past few months, Spurs have made my Saturday mornings so wonderful. I love waking up to see this club play and am very optimistic about the future. Texas says thanks!",2,0
HUtAjPTsuqs/Ugz3Er3YUpy_WAw7IMl4AaABAg,5032,5025,1,Ugz3Er3YUpy_WAw7IMl4AaABAg,data,items.*,fetched (200),2023-10-16 14:36:00.314367,YouTube:/commentThreads,18/19 Champions League final  Liverpool bought referees for Tottenham game,1,0
HUtAjPTsuqs/UgzDfViTyr2-ZSihP0l4AaABAg,5033,5025,1,UgzDfViTyr2-ZSihP0l4AaABAg,data,items.*,fetched (200),2023-10-16 14:36:00.314367,YouTube:/commentThreads,Lucky spurs ... Liverpool just play with 9 players,0,0
HUtAjPTsuqs/UgyjtjJ3tH4es6EUKK94AaABAg,5034,5025,1,UgyjtjJ3tH4es6EUKK94AaABAg,data,items.*,fetched (200),2023-10-16 14:36:00.314367,YouTube:/commentThreads,injustice,0,0
HUtAjPTsuqs/UgxO0BiqpdDfK8Xzm2t4AaABAg,5035,5025,1,UgxO0BiqpdDfK8Xzm2t4AaABAg,data,items.*,fetched (200),2023-10-16 14:36:00.314367,YouTube:/commentThreads,"This team chemistry is very fantastic. He is without a doubt the finest CF in the Premier League so far this season, whether it is Son's effect or not. excellently done",4,0
HUtAjPTsuqs/UgyOR1YJeGPsDIVUYSl4AaABAg,5036,5025,1,UgyOR1YJeGPsDIVUYSl4AaABAg,data,items.*,fetched (200),2023-10-16 14:36:00.314367,YouTube:/commentThreads,I hope Tottenham win something this season,1,0
HUtAjPTsuqs/UgzEsOxtKxQE_nQ3iRZ4AaABAg,5037,5025,1,UgzEsOxtKxQE_nQ3iRZ4AaABAg,data,items.*,fetched (200),2023-10-16 14:36:00.314367,YouTube:/commentThreads,Thanks mitip๐,0,0
HUtAjPTsuqs/UgxxS3H0jXjUkbc6IJ94AaABAg,5038,5025,1,UgxxS3H0jXjUkbc6IJ94AaABAg,data,items.*,fetched (200),2023-10-16 14:36:00.314367,YouTube:/commentThreads,We've finally won! Please start Johnson against Luton town,1,0
HUtAjPTsuqs/UgzZjQOpkwNUZozTjR14AaABAg,5039,5025,1,UgzZjQOpkwNUZozTjR14AaABAg,data,items.*,fetched (200),2023-10-16 14:36:00.314367,YouTube:/commentThreads,Bad ref,1,0
HUtAjPTsuqs/UgwTJ8FkU8519w5rxgB4AaABAg,5040,5025,1,UgwTJ8FkU8519w5rxgB4AaABAg,data,items.*,fetched (200),2023-10-16 14:36:00.314367,YouTube:/commentThreads,Spurs top of the league today.,0,0
HUtAjPTsuqs/UgxAdW1wJilm6P3JFWx4AaABAg,5041,5025,1,UgxAdW1wJilm6P3JFWx4AaABAg,data,items.*,fetched (200),2023-10-16 14:36:00.314367,YouTube:/commentThreads,"They wonโt change it because the Premier League is OWNED by the Middle East. You all protested when they suggested a Super League, but itโs already gone.  And as for spurs celebrating, it took an own goal to win against 9 men!",0,0
HUtAjPTsuqs/UgwYbkltKOdoDZY10sZ4AaABAg,5042,5025,1,UgwYbkltKOdoDZY10sZ4AaABAg,data,items.*,fetched (200),2023-10-16 14:36:00.314367,YouTube:/commentThreads,12 vs 9  small children can do it too ๐คฃ๐คฃ๐คฃ๐คฃ๐คฃ๐คฃ,0,0
HUtAjPTsuqs/UgyzyIXeQvh_KOPbYLN4AaABAg,5043,5025,1,UgyzyIXeQvh_KOPbYLN4AaABAg,data,items.*,fetched (200),2023-10-16 14:36:00.314367,YouTube:/commentThreads,its not  ofside,0,0
HUtAjPTsuqs/UgwpTNQsF8Zd7eDr28N4AaABAg,5044,5025,1,UgwpTNQsF8Zd7eDr28N4AaABAg,data,items.*,fetched (200),2023-10-16 14:36:00.314367,YouTube:/commentThreads,see who is winner ;-),0,0
HUtAjPTsuqs/Ugxot043X2Py4JWyDcV4AaABAg,5045,5025,1,Ugxot043X2Py4JWyDcV4AaABAg,data,items.*,fetched (200),2023-10-16 14:36:00.314367,YouTube:/commentThreads,menang dengan rasa malu,0,0
HUtAjPTsuqs/UgwurXeq4U6SLhNUmrF4AaABAg,5046,5025,1,UgwurXeq4U6SLhNUmrF4AaABAg,data,items.*,fetched (200),2023-10-16 14:36:00.314367,YouTube:/commentThreads,Congratulations,0,0
HUtAjPTsuqs/UgypUcgTLHqmSzp7Pk14AaABAg,5047,5025,1,UgypUcgTLHqmSzp7Pk14AaABAg,data,items.*,fetched (200),2023-10-16 14:36:00.314367,YouTube:/commentThreads,12 vs 9,1,0
HUtAjPTsuqs/UgxgpBVcoQuCdwGs11J4AaABAg,5048,5025,1,UgxgpBVcoQuCdwGs11J4AaABAg,data,items.*,fetched (200),2023-10-16 14:36:00.314367,YouTube:/commentThreads,Asuuuuuuu ๐๐๐.. Rematch please with good referee,0,0
HUtAjPTsuqs/UgzHSx_XN2DORdlrUBd4AaABAg,5049,5025,1,UgzHSx_XN2DORdlrUBd4AaABAg,data,items.*,fetched (200),2023-10-16 14:36:00.314367,YouTube:/commentThreads,"Big Ange has really transform Spurs ๐, we just can't wait for Bentacur's return ๐ข. With him, bissou, maddi  Spurs will be midfield gods although Sarr is still lovely ๐",0,0
HUtAjPTsuqs/Ugza9rG_5gW2NpG3eEl4AaABAg,5050,5025,1,Ugza9rG_5gW2NpG3eEl4AaABAg,data,items.*,fetched (200),2023-10-16 14:36:00.314367,YouTube:/commentThreads,best game ever!!!!,0,0
HUtAjPTsuqs/UgxE7HBegFsdqL8ZXEZ4AaABAg,5051,5025,1,UgxE7HBegFsdqL8ZXEZ4AaABAg,data,items.*,fetched (200),2023-10-16 14:36:00.314367,YouTube:/commentThreads,Unfair play,0,0
HUtAjPTsuqs/Ugxd4wKArXhA3F6i1aB4AaABAg,5052,5025,1,Ugxd4wKArXhA3F6i1aB4AaABAg,data,items.*,fetched (200),2023-10-16 14:36:00.314367,YouTube:/commentThreads,Tottenham trio is deadly,0,0
HUtAjPTsuqs/Ugycc2MgWENBjPSqJhl4AaABAg,5053,5025,1,Ugycc2MgWENBjPSqJhl4AaABAg,data,items.*,fetched (200),2023-10-16 14:36:00.314367,YouTube:/commentThreads,Glory glory Tottenham Hotspur,0,1
HUtAjPTsuqs/UgzbwcDDKe5geKC8PLl4AaABAg,5054,5025,1,UgzbwcDDKe5geKC8PLl4AaABAg,data,items.*,fetched (200),2023-10-16 14:36:00.314367,YouTube:/commentThreads,I love this club โค,0,0
HUtAjPTsuqs/Ugz1TxQnF6xIZUzY0Cp4AaABAg,5055,5025,1,Ugz1TxQnF6xIZUzY0Cp4AaABAg,data,items.*,fetched (200),2023-10-16 14:36:00.314367,YouTube:/commentThreads,Glory glory Tottenham,0,0
HUtAjPTsuqs/Ugw-OGgvIAUIrUcaSzN4AaABAg,5056,5025,1,Ugw-OGgvIAUIrUcaSzN4AaABAg,data,items.*,fetched (200),2023-10-16 14:36:00.314367,YouTube:/commentThreads,Love this team,0,0
HUtAjPTsuqs/UgwsDR8IL9sU1HMvCud4AaABAg,5057,5025,1,UgwsDR8IL9sU1HMvCud4AaABAg,data,items.*,fetched (200),2023-10-16 14:36:00.314367,YouTube:/commentThreads,Pwayed refs,0,0
